step,total_vehicles,avg_waiting_time,total_delay,throughput,avg_speed,total_stops,total_co2_g
501,20,3.2,940.0,26,0.8949999999999999,9,195.0
511,18,3.611111111111111,822.0,28,0.6333259409908265,13,177.35
521,19,3.8947368421052633,876.0,29,0.7263157894736841,17,174.22
531,19,4.631578947368421,1036.0,29,0.7368415914855351,19,191.99
541,20,3.3,1199.0,29,0.8700000000000001,22,211.48
551,17,2.823529411764706,870.0,33,0.8529411764705882,20,155.85
561,16,3.25,890.0,34,0.8125,22,154.64
571,17,4.411764705882353,1021.0,34,0.788235294117647,22,171.35
581,16,5.3125,1010.0,35,0.8686059353679716,22,170.61
591,17,6.0588235294117645,869.0,37,0.7176264262234229,19,150.03
601,16,7.6875,868.0,38,0.8125,15,148.06
611,16,9.0,864.0,39,0.7437492061707189,11,145.27
621,17,7.882352941176471,977.0,39,0.8176470588235293,12,161.37
631,16,7.75,563.0,43,0.76875,6,101.97
641,17,6.9411764705882355,655.0,43,0.8046459337997303,7,118.92
651,18,7.166666666666667,765.0,43,0.7722222222222223,7,137.2
661,17,7.0,735.0,44,0.8116193500918418,8,135.34
671,17,6.9411764705882355,737.0,45,0.7117342903928005,9,133.35
681,17,7.529411764705882,860.0,45,0.7646957885416603,10,149.1
691,17,8.882352941176471,1007.0,45,0.6411751673163519,14,164.67
701,18,7.611111111111111,961.0,46,0.7189263221427464,13,160.26
711,17,7.470588235294118,796.0,48,0.837859437316651,11,139.83
721,17,7.294117647058823,927.0,48,0.8235294117647058,12,157.77
731,18,6.888888888888889,1067.0,48,0.8222222222222222,12,176.01
741,18,6.166666666666667,1056.0,49,0.8054624209182956,13,176.47
751,18,6.055555555555555,926.0,51,0.8222222222222223,11,158.35
761,18,6.055555555555555,1062.0,51,0.8888756040148736,11,178.19
771,18,6.277777777777778,1202.0,51,0.7277777777777777,15,196.97
781,19,4.684210526315789,1186.0,52,0.8999997794496095,15,197.69
791,15,4.866666666666666,673.0,57,0.9,9,122.81
801,14,4.928571428571429,664.0,58,0.8571428571428571,9,119.51
811,15,5.4,774.0,58,0.6733333333333333,9,133.58
821,15,5.133333333333334,716.0,59,0.7933333333333333,8,129.14
831,15,6.133333333333334,671.0,60,0.786649295798586,7,125.31
841,16,7.0,786.0,60,0.7223183084537068,7,140.56
