step,total_vehicles,avg_waiting_time,total_delay,throughput,avg_speed,total_stops,total_co2_g
501,38,17.789473684210527,2852.0,38,0.7074598462976771,32,400.47
511,38,21.07894736842105,2427.0,42,0.6037593984962406,30,355.24
521,38,18.55263157894737,1894.0,47,0.844736842105263,22,295.85
531,38,15.81578947368421,1815.0,50,0.7842105263157895,29,278.75
541,38,13.736842105263158,1851.0,52,0.8553450992704392,32,282.3
551,41,10.975609756097562,1980.0,53,0.8365853658536585,34,306.62
561,42,9.119047619047619,2118.0,54,0.8952151182635795,36,332.78
571,42,7.880952380952381,2402.0,54,0.9047619047619048,37,381.81
581,45,6.977777777777778,2513.0,56,0.7888888888888889,39,390.5
591,45,7.777777777777778,2845.0,56,0.8,41,436.78
601,45,8.177777777777777,2762.0,58,0.7539682539682538,39,444.53
611,45,9.911111111111111,2340.0,62,0.711111111111111,37,410.76
621,44,13.045454545454545,1844.0,67,0.625,24,353.98
631,45,15.933333333333334,1646.0,71,0.6177777777777778,13,313.74
641,44,15.272727272727273,1730.0,73,0.759090909090909,28,315.09
651,46,13.108695652173912,2011.0,73,0.8219474557308746,31,360.98
661,45,11.977777777777778,2124.0,75,0.8466666666666666,36,370.15
671,46,10.956521739130435,2251.0,77,0.7891304347826086,39,381.37
681,47,10.74468085106383,2510.0,78,0.7680851063829788,41,409.31
691,48,11.333333333333334,2572.0,81,0.7000000000000001,43,396.84
701,48,13.083333333333334,2934.0,81,0.75,43,441.99
711,49,14.673469387755102,3317.0,81,0.7326530612244898,44,488.48
721,51,15.627450980392156,3288.0,83,0.6829931972789117,42,496.33
731,49,18.877551020408163,2828.0,88,0.6790551927500089,39,445.3
741,49,17.06122448979592,2456.0,93,0.7431065297809553,42,396.17
751,51,14.27450980392157,2421.0,96,0.8001721373001067,35,391.71
761,52,12.307692307692308,2542.0,98,0.8414456233421752,40,407.35
771,55,10.145454545454545,2656.0,100,0.8745454545454546,40,428.55
781,54,8.87037037037037,2686.0,103,0.8888769955291044,41,433.88
791,53,8.132075471698114,2830.0,105,0.8641399490789541,44,455.96
801,56,7.678571428571429,3218.0,105,0.8125,50,514.27
811,55,8.690909090909091,3436.0,107,0.7763633354133916,58,532.96
821,55,9.236363636363636,3436.0,109,0.7178397294252586,60,548.19
831,53,12.018867924528301,2570.0,116,0.6257644762524397,60,462.1
841,51,15.882352941176471,2341.0,120,0.57317108509856,50,428.25
851,50,20.06,2123.0,125,0.5,41,368.57
861,51,18.725490196078432,2381.0,126,0.7078431372549019,72,387.47
871,52,16.076923076923077,2745.0,126,0.773076923076923,82,437.67
881,52,14.01923076923077,2716.0,130,0.7494764824714009,93,412.59
891,53,11.924528301886792,3005.0,131,0.796186505666566,101,445.03
901,50,11.74,3099.0,134,0.7863750000000002,109,439.0
911,52,11.576923076923077,3308.0,136,0.7576923076923077,111,451.5
921,54,12.38888888888889,3726.0,136,0.7351851851851853,114,501.79
931,54,14.203703703703704,4166.0,136,0.7407401846226747,115,552.58
941,54,15.462962962962964,4187.0,138,0.6675252334978506,114,563.85
951,53,18.264150943396228,3675.0,143,0.6709918272822986,105,514.37
961,53,16.58490566037736,3411.0,147,0.7811320754716979,108,487.72
971,55,13.854545454545455,3165.0,151,0.7383829927305388,98,466.4
981,54,12.314814814814815,2681.0,157,0.7641801195770462,67,405.43
991,53,10.81132075471698,2546.0,161,0.8277147380911482,67,383.49
1001,53,9.452830188679245,2666.0,163,0.8603500945057446,70,402.73
1011,54,8.74074074074074,2918.0,164,0.849341088800278,72,443.19
1021,55,8.945454545454545,3309.0,164,0.8290909090909091,74,501.53
1031,55,9.981818181818182,3643.0,165,0.7672725009156569,77,538.44
1041,55,10.818181818181818,3671.0,167,0.6945454545454546,78,552.25
1051,54,13.425925925925926,3444.0,171,0.6574074074074073,74,522.82
1061,55,16.381818181818183,2942.0,176,0.5145454545454545,65,470.48
1071,55,20.072727272727274,2909.0,179,0.531795226284418,57,452.0
1081,53,19.90566037735849,2969.0,181,0.7660377358490567,63,457.77
1091,54,16.88888888888889,2896.0,184,0.7537037037037039,52,455.65
1101,53,14.716981132075471,2837.0,188,0.7658462392768044,63,431.85
1111,54,12.333333333333334,2907.0,191,0.7704876916498492,70,427.89
1121,54,10.777777777777779,3103.0,193,0.7794438147344077,79,444.42
1131,54,10.537037037037036,3297.0,195,0.7444444444444445,88,459.43
1141,54,11.407407407407407,3592.0,196,0.7685185185185185,90,493.13
1151,54,12.907407407407407,4027.0,196,0.7222222222222222,95,544.52
1161,57,13.280701754385966,4045.0,198,0.6554679291516622,99,555.01
1171,57,16.035087719298247,3714.0,202,0.6181293358251655,100,525.27
1181,53,16.245283018867923,3299.0,207,0.7339264389777884,116,477.52
1191,53,13.358490566037736,2917.0,212,0.7712059064807221,108,437.33
1201,52,11.0,2566.0,217,0.8095513365259629,92,395.99
1211,55,8.672727272727272,2699.0,219,0.8270849324755283,96,413.91
1221,57,7.0,2852.0,221,0.8631350679261627,98,436.25
1231,58,6.5,3125.0,222,0.8499635456325934,100,480.25
1241,60,6.683333333333334,3530.0,222,0.8483259848589617,100,544.42
1251,59,7.711864406779661,3763.0,224,0.8271186440677966,102,570.78
1261,60,8.5,4007.0,225,0.785,103,613.42
1271,59,10.559322033898304,3539.0,230,0.7050847457627119,100,574.5
1281,56,14.232142857142858,3009.0,236,0.6003746866910336,81,509.94
1291,53,19.037735849056602,2696.0,241,0.5423548578005942,56,455.29
1301,55,17.727272727272727,2549.0,245,0.6381818181818181,51,420.97
1311,57,14.912280701754385,2581.0,248,0.7559210526315789,54,416.25
